serial_number,date,tyre_code,description,qty
032025-05161,3/19/2025,712073,16 x 7 x 10 1/2 ATIRE RUNNER BAND NM SM,0
032025-05162,3/19/2025,720071,21 x 8 x 15 ATIRE RUNNER BAND BLACK SM,0
032025-05163,3/19/2025,738073,28 x 12 x 22 ATIRE RUNNER BAND NM SM,0
032025-05164,3/19/2025,178044,355/50 - 15 (9.75) ATIRE RUNNER SOLID NM CLIP,0
032025-05165,3/19/2025,126041,23 x 10 - 12 (8.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05166,3/19/2025,135053,8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID NM STD,0
032025-05167,3/19/2025,135053,8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID NM STD,0
032025-05168,3/19/2025,101042,15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05169,3/19/2025,170051,14.00 - 24 (10.00) ATIRE ROCK SOLID BLACK STD,0
032025-05170,3/19/2025,112164,21 x 8 - 9 (6.00) ACHIEVER PLUS (WIDE) NM CLIP,0
032025-05171,3/19/2025,118014,200/50 - 10 (6.50) ACHIEVER PLUS NM CLIP,0
032025-05172,3/19/2025,118014,200/50 - 10 (6.50) ACHIEVER PLUS NM CLIP,0
032025-05173,3/19/2025,103043,16 x 6 - 8 (4.33) ATIRE RUNNER SOLID NM STD,0
032025-05174,3/19/2025,103041,16 x 6 - 8 (4.33) ATIRE RUNNER SOLID BLACK STD,0
032025-05175,3/19/2025,104041,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID BLACK STD,0
032025-05176,3/19/2025,104044,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP,0
032025-05177,3/19/2025,104044,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP,0
032025-05178,3/19/2025,110012,140/55 x 9 (4.00) ACHIEVER PLUS BLACK CLIP,0
032025-05179,3/19/2025,102241,5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD,0
032025-05180,3/19/2025,102241,5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD,0
032025-05181,3/19/2025,125042,7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05182,3/19/2025,125042,7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05183,3/19/2025,125041,7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05184,3/19/2025,119042,6.50 - 10 (5.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05185,3/19/2025,119043,6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD,0
032025-05186,3/19/2025,119043,6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD,0
032025-05187,3/19/2025,704074,14 x 4 1/2 x 8 ATIRE RUNNER BAND NM TR,0
032025-05188,3/19/2025,710074,16 x 5 x 10 1/2 ATIRE RUNNER BAND NM TR,0
032025-05189,3/19/2025,711074,16 x 6 x 10 1/2 ATIRE RUNNER BAND NM TR,0
032025-05190,3/19/2025,715072,18 x 7 x 12 1/8 ATIRE RUNNER BAND BLACK TR,0
032025-05191,3/19/2025,716072,18 x 8 x 12 1/8 ATIRE RUNNER BAND BLACK TR,0
032025-05192,3/19/2025,720072,21 x 8 x 15 ATIRE RUNNER BAND BLACK TR,0
032025-05193,3/19/2025,101042,15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05194,3/19/2025,712073,16 x 7 x 10 1/2 ATIRE RUNNER BAND NM SM,0
032025-05195,3/19/2025,720071,21 x 8 x 15 ATIRE RUNNER BAND BLACK SM,0
032025-05196,3/19/2025,141002,7.00 - 15 (5.50) ACHIEVER BLACK CLIP,0
032025-05197,3/19/2025,110012,140/55 x 9 (4.00) ACHIEVER PLUS BLACK CLIP,0
032025-05198,3/19/2025,102241,5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD,0
032025-05199,3/19/2025,102241,5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD,0
032025-05200,3/19/2025,704074,14 x 4 1/2 x 8 ATIRE RUNNER BAND NM TR,0
032025-05201,3/19/2025,710074,16 x 5 x 10 1/2 ATIRE RUNNER BAND NM TR,0
032025-05202,3/19/2025,711074,16 x 6 x 10 1/2 ATIRE RUNNER BAND NM TR,0
032025-05203,3/19/2025,715072,18 x 7 x 12 1/8 ATIRE RUNNER BAND BLACK TR,0
032025-05204,3/19/2025,716072,18 x 8 x 12 1/8 ATIRE RUNNER BAND BLACK TR,0
032025-05205,3/19/2025,720072,21 x 8 x 15 ATIRE RUNNER BAND BLACK TR,0
032025-05206,3/19/2025,104044,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP,0
032025-05207,3/19/2025,103041,16 x 6 - 8 (4.33) ATIRE RUNNER SOLID BLACK STD,0
032025-05208,3/19/2025,104041,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID BLACK STD,0
032025-05209,3/19/2025,104044,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP,0
032025-05210,3/19/2025,103041,16 x 6 - 8 (4.33) ATIRE RUNNER SOLID BLACK STD,0
032025-05211,3/19/2025,126041,23 x 10 - 12 (8.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05212,3/19/2025,155051,12.00 - 20 (8.00) ATIRE ROCK SOLID BLACK STD,0
032025-05213,3/19/2025,140051,355/65 - 15 (9.75) ATIRE ROCK SOLID BLACK STD,0
032025-05214,3/19/2025,135053,8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID NM STD,0
032025-05215,3/19/2025,135053,8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID NM STD,0
032025-05216,3/19/2025,112164,21 x 8 - 9 (6.00) ACHIEVER PLUS (WIDE) NM CLIP,0
032025-05217,3/19/2025,118014,200/50 - 10 (6.50) ACHIEVER PLUS NM CLIP,0
032025-05218,3/19/2025,118014,200/50 - 10 (6.50) ACHIEVER PLUS NM CLIP,0
032025-05219,3/19/2025,119042,6.50 - 10 (5.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05220,3/19/2025,119043,6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD,0
032025-05221,3/19/2025,119043,6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD,0
032025-05222,3/19/2025,125042,7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05223,3/19/2025,125042,7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05224,3/19/2025,125041,7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05225,3/19/2025,101042,15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05226,3/19/2025,712073,16 x 7 x 10 1/2 ATIRE RUNNER BAND NM SM,0
032025-05227,3/19/2025,720071,21 x 8 x 15 ATIRE RUNNER BAND BLACK SM,0
032025-05228,3/19/2025,110012,140/55 x 9 (4.00) ACHIEVER PLUS BLACK CLIP,0
032025-05229,3/19/2025,102241,5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD,0
032025-05230,3/19/2025,102241,5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD,0
032025-05231,3/19/2025,178044,355/50 - 15 (9.75) ATIRE RUNNER SOLID NM CLIP,0
032025-05232,3/19/2025,704074,14 x 4 1/2 x 8 ATIRE RUNNER BAND NM TR,0
032025-05233,3/19/2025,710074,16 x 5 x 10 1/2 ATIRE RUNNER BAND NM TR,0
032025-05234,3/19/2025,711074,16 x 6 x 10 1/2 ATIRE RUNNER BAND NM TR,0
032025-05235,3/19/2025,715072,18 x 7 x 12 1/8 ATIRE RUNNER BAND BLACK TR,0
032025-05236,3/19/2025,716074,18 x 8 x 12 1/8 ATIRE RUNNER BAND NM TR,0
032025-05237,3/19/2025,720072,21 x 8 x 15 ATIRE RUNNER BAND BLACK TR,0
032025-05238,3/19/2025,103041,16 x 6 - 8 (4.33) ATIRE RUNNER SOLID BLACK STD,0
032025-05239,3/19/2025,103041,16 x 6 - 8 (4.33) ATIRE RUNNER SOLID BLACK STD,0
032025-05240,3/19/2025,104041,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID BLACK STD,0
032025-05241,3/19/2025,104044,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP,0
032025-05242,3/19/2025,104044,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP,0
032025-05243,3/19/2025,101042,15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05244,3/19/2025,110012,140/55 x 9 (4.00) ACHIEVER PLUS BLACK CLIP,0
032025-05245,3/19/2025,102241,5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD,0
032025-05246,3/19/2025,102241,5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD,0
032025-05247,3/19/2025,126041,23 x 10 - 12 (8.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05248,3/19/2025,712073,16 x 7 x 10 1/2 ATIRE RUNNER BAND NM SM,0
032025-05249,3/19/2025,720071,21 x 8 x 15 ATIRE RUNNER BAND BLACK SM,0
032025-05250,3/19/2025,125042,7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05251,3/19/2025,125042,7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05252,3/19/2025,125041,7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05253,3/19/2025,119042,6.50 - 10 (5.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05254,3/19/2025,119043,6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD,0
032025-05255,3/19/2025,119043,6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD,0
032025-05256,3/19/2025,704074,14 x 4 1/2 x 8 ATIRE RUNNER BAND NM TR,0
032025-05257,3/19/2025,710074,16 x 5 x 10 1/2 ATIRE RUNNER BAND NM TR,0
032025-05258,3/19/2025,711074,16 x 6 x 10 1/2 ATIRE RUNNER BAND NM TR,0
032025-05259,3/19/2025,170051,14.00 - 24 (10.00) ATIRE ROCK SOLID BLACK STD,0
032025-05260,3/19/2025,112164,21 x 8 - 9 (6.00) ACHIEVER PLUS (WIDE) NM CLIP,0
032025-05261,3/19/2025,118014,200/50 - 10 (6.50) ACHIEVER PLUS NM CLIP,0
032025-05262,3/19/2025,118014,200/50 - 10 (6.50) ACHIEVER PLUS NM CLIP,0
032025-05263,3/19/2025,135053,8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID NM STD,0
032025-05264,3/19/2025,135053,8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID NM STD,0
032025-05265,3/19/2025,715072,18 x 7 x 12 1/8 ATIRE RUNNER BAND BLACK TR,0
032025-05266,3/19/2025,716074,18 x 8 x 12 1/8 ATIRE RUNNER BAND NM TR,0
032025-05267,3/19/2025,720072,21 x 8 x 15 ATIRE RUNNER BAND BLACK TR,0
032025-05268,3/19/2025,103041,16 x 6 - 8 (4.33) ATIRE RUNNER SOLID BLACK STD,0
032025-05269,3/19/2025,103041,16 x 6 - 8 (4.33) ATIRE RUNNER SOLID BLACK STD,0
032025-05270,3/19/2025,104041,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID BLACK STD,0
032025-05271,3/19/2025,104044,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP,0
032025-05272,3/19/2025,104044,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP,0
032025-05273,3/19/2025,110012,140/55 x 9 (4.00) ACHIEVER PLUS BLACK CLIP,0
032025-05274,3/19/2025,102241,5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD,0
032025-05275,3/19/2025,102241,5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD,0
032025-05276,3/19/2025,101042,15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK CLIP,0
